,Course title,Course price,Course rating,Course method,Brief description,Course link
0,Microsoft Office 2019 maatwerk Nulmeting - Microsoft Office 365 - Microsoft Office - onbeperkt,€ 230,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Microsoft Office 2019 Maatwerk Nulmeting kortingspakket| 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, in…",https://www.springest.nl//oem-office-elearning-menu/microsoft-office-2019-maatwerk
1,AANBIEDING!: IT & Projectmanagement (abonnementen) - onbeperkt - Abonnementen voor onbeperkt online leren - IT Management & Strategie - ITI…,€ 777,"Opleiderscore: star 8,9 ",E-Learning,"🗂 1000+ online cursussen | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, projectmanagement, Data Science, inter…",https://www.springest.nl//oem-office-elearning-menu/onbeperkt-it-e-leren-abonnement
2,Studdy® | Jouw abonnement voor onbeperkt leren!,"€ 179,50","Opleiderscore: star 9,6 ",E-Learning,"Studdy® | 🗂 900+ cursussen, audioboeken, kranten, testen| 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per jaar | 🎯Vakgebieden: Taal, Marketing, Per…",https://www.springest.nl//studdy/studdy-abonnement
3,Microsoft Office 2019 Basis Gevorderd Expert - Microsoft Office 365 - Microsoft Office - onbeperkt,€ 230,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Microsoft Office 2019 Basis Gevorderd Expert kortingspakket| 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk…",https://www.springest.nl//oem-office-elearning-menu/microsoft-office-2019-basis-gevorderd-expert
4,Onbeperkt leren: Abonnement Gezondheid,€ 199,"Opleiderscore: star 9,5 ",E-Learning,"🗂 86 online cursussen | 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per jaar | 🎯Vakgebieden: gezondheid, persoonlijk, burn-out, thuiswerken, stress…",https://www.springest.nl//stichting-gezondheid-nederland/onbeperkt-leren-abonnement-gezondheid
5,Onbeperkt Leren: abonnement Persoonlijke Ontwikkeling en 21st century skills,€ 199,"Opleiderscore: star 9,5 ",E-Learning,"🗂 72 online cursussen | 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per jaar | 🎯Vakgebieden: persoonlijk, sales, webdevelopment, Microsoft, producti…",https://www.springest.nl//stichting-gezondheid-nederland/onbeperkt-leren-abonnement-persoonlijke-ontwikkeling-en-21st-century-skills
6,Onbeperkt Leren: Interplein & Stichting Gezondheid abonnement,€ 299,"Opleiderscore: star 9,5 ",E-Learning,"🗂 300 online cursussen | 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per jaar | 🎯Vakgebieden: gezondheid, taal, marketing, persoonlijk, internet, b…",https://www.springest.nl//stichting-gezondheid-nederland/onbeperkt-leren-interplein-stichting-gezondheid-abonnement
7,70-742 Identity with Windows Server 2016 - MCSA Windows Server 2016,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-742 Identity with Windows Server 2016 - MCSA Windows Server 2016| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoon…",https://www.springest.nl//oem-office-elearning-menu/70-742-identity-with-windows-server-2016
8,Microsoft Office 365 - Maatwerk Nulmeting - Microsoft Office - Microsoft Office 2019 - onbeperkt,€ 230,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Microsoft Office 365 v 2019 Maatwerk Nulmeting kortingspakket| 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonli…",https://www.springest.nl//oem-office-elearning-menu/microsoft-office-365-maatwerk-nulmeting-microsoft-office-microsoft-office-2019-onbeperkt
9,70-414 Windows Server 2012 Trainingspakket,€ 349,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-414 Implementing an Advanced Server Infrastructure Online| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, i…",https://www.springest.nl//oem-office-elearning-menu/70-414-implementing-an-advanced-server-infrastructure
10,VMware - VMware VCP5-Datacenter Virtualization (CP5-DCV) - Virtualization - VMware vCloud,€ 379,"Opleiderscore: star 8,9 ",E-Learning,"🗂 VMware VCP5-Datacenter Virtualization CP5-DCV| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, m…",https://www.springest.nl//oem-office-elearning-menu/vmware-vcp5-datacenter-virtualization-cp5-dcv
11,Amazon Web Services AWS: AWS Certified Cloud Practitioner CLF-C01 – 2022 update - Cloud Computing - Cloud Security - Cyber Security - IT Be…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AWS Certified Cloud Practitioner CLF-C01 – 2022 update| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, interne…",https://www.springest.nl//oem-office-elearning-menu/aws-certified-cloud-practitioner
12,Microsoft Azure: Microsoft Azure AZ-301 Architect Design,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Microsoft Azure AZ-301 Architect Design| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel,…",https://www.springest.nl//oem-office-elearning-menu/az-301-microsoft-azure-architect-design
13,Administering Microsoft SQL Server 2012 Databases exam 70-462 - SQL - SQL Server- Microsoft SQL Server,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Developing SQL Databases 70-762| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tablet …",https://www.springest.nl//oem-office-elearning-menu/administering-microsoft-sql-server-2012-databases-exam-70-462
14,MD-101 Managing Modern Desktops - Microsoft Windows 10,€ 359,"Opleiderscore: star 8,9 ",E-Learning,"🗂 MD-101 Managing Modern Desktops| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tablet …",https://www.springest.nl//oem-office-elearning-menu/md-101-managing-modern-desktops-certificeringspakket
15,Java: Java SE 8 Programming exam IZ0-808 - J2EE - Java Certified Associate - Java 7 - Java 8 - Programmeren (algemeen) - Functioneel progra…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Java SE 8 Programming exam IZ0-808| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tabl…",https://www.springest.nl//oem-office-elearning-menu/java-se-8-programming-exam-iz0-808
16,Java: Java SE 8 Programming II exam IZ0-809 - J2EE - Java Certified Associate - Java 7 - Java 8 - Programmeren (algemeen) - Functioneel pro…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Java SE 8 Programming II exam IZ0-809| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, t…",https://www.springest.nl//oem-office-elearning-menu/java-se-8-programming-ii-exam-iz0-809
17,70-347 Enabling Office 365 Services,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-347 Enabling Office 365 Services| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tab…",https://www.springest.nl//oem-office-elearning-menu/70-347-enabling-office-365-services
18,SSCP: Systems Security Certified Practitioner SSCP 2021 - Cyber Security - Cloud Security - Security Engineer - IT Beveiliging / Security -…,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Systems Security Certified Practitioner SSCP 2021| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 P…",https://www.springest.nl//oem-office-elearning-menu/sscp-sscp-systems-security-certified-practitioner-2021
19,Google E-Course BOX - Google Apps - Google G Suite - Google Data Studio - Google Cloud - Google Analytics - Google Ads- E-mail - B2B-Commun…,€ 1.349,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Google E-Course BOX kortingspakket|🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, table…",https://www.springest.nl//oem-office-elearning-menu/google-google-e-course-box
20,Microsoft PowerApps M55265 - Microsoft Power Platform - Microsoft Power Automate,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Microsoft PowerApps M55265| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tablet | 🗓 A…",https://www.springest.nl//oem-office-elearning-menu/microsoft-powerapps
21,Microsoft Office 2019 Gevorderd Expert - Microsoft Office 365 - Microsoft Office - onbeperkt,"€ 224,25","Opleiderscore: star 8,9 ",E-Learning,"🗂 Microsoft Office 2019 Gevorderd Expert kortingspakket| 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, inte…",https://www.springest.nl//oem-office-elearning-menu/microsoft-office-2019-gevorderd-expert
22,DP-100 Designing and Implementing a Data Science Solution on Azure - Data Science - Microsoft Azure - Machine learning - Cloud Computing - …,€ 299,"Opleiderscore: star 8,9 ",E-Learning,🗂 DP-100 Designing and Implementing a Data Science Solution on Azure certificeringspakket| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakg…,https://www.springest.nl//oem-office-elearning-menu/microsoft-dp-100
23,70-465 Designing Database Solutions for SQL Server 2012 - SQL - SQL Server- Microsoft SQL Server,€ 369,"Opleiderscore: star 8,9 ",E-Learning,🗂 70-465 Designing Database Solutions for SQL Server 2012 - SQL - SQL Server- Microsoft SQL Server| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaa…,https://www.springest.nl//oem-office-elearning-menu/70-465-designing-database-solutions-for-sql-server-2012
24,Microsoft Azure: AZ-303 Microsoft Azure Architect Technologies - Databases - Database ontwerp / design - Windows Azure - Azure IaaS - Cloud…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-303 Microsoft Azure Architect Technologies| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, m…",https://www.springest.nl//oem-office-elearning-menu/az-303-microsoft-azure-architect-technologies
25,AZ-500 Microsoft Azure Security Technologies: Microsoft Azure - Cloud Computing - Windows Azure - Cloud Security,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-500 Microsoft Azure Security Technologies| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mo…",https://www.springest.nl//oem-office-elearning-menu/azure-az-500-microsoft-azure-security-technologies
